house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent,rent_per_sqft
"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,1050.0,2,2,0,Semi-Furnished,33.0,35000.0,33.33
"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,1270.0,2,2,2,Semi-Furnished,28.0,35000.0,27.56
"2 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,1100.0,2,2,0,Semi-Furnished,59.0,65000.0,59.09
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,2300.0,3,4,4,Semi-Furnished,15.0,35000.0,15.22
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,1445.0,3,3,3,Semi-Furnished,30.0,43000.0,29.76
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,1495.0,3,3,0,Semi-Furnished,30.0,45000.0,30.1
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,1710.0,3,3,2,Semi-Furnished,28.0,48000.0,28.07
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,1400.0,3,3,3,Semi-Furnished,39.0,55000.0,39.29
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,1810.0,3,3,2,Semi-Furnished,33.0,60000.0,33.15
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,1810.0,3,3,2,Unfurnished,36.0,65000.0,35.91
3 BHK Villa for Rent in Bannerghatta Main Road Bangalore,Bannerghatta Road,Bengaluru,2215.0,3,3,3,Semi-Furnished,29.0,65000.0,29.35
3 BHK Villa for Rent in Bannerghatta Main Road Bangalore,Bannerghatta Road,Bengaluru,2254.0,3,3,0,Semi-Furnished,33.0,75000.0,33.27
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,2072.0,3,4,0,Furnished,39.0,80000.0,38.61
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,2251.0,3,3,2,Unfurnished,38.0,85000.0,37.76
"5 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bengaluru,2000.0,5,5,3,Unfurnished,30.0,60000.0,30.0
1 BHK House for Rent in Bapuji Nagar Bangalore,Bapuji Nagar,Bengaluru,300.0,1,1,0,Unfurnished,17.0,5000.0,16.67
1 BHK House for Rent in Bapuji Nagar Bangalore,Bapuji Nagar,Bengaluru,500.0,1,1,0,Unfurnished,15.0,7500.0,15.0
1 BHK House for Rent in Basapura Bangalore,Basapura,Bengaluru,500.0,1,1,0,Unfurnished,11.0,5500.0,11.0
1 BHK House for Rent in Basapura Bangalore,Basapura,Bengaluru,550.0,1,1,0,Semi-Furnished,25.0,14000.0,25.45
"1 BHK Flat for Rent in Basapura, Bangalore",Basapura,Bengaluru,460.0,1,1,0,Semi-Furnished,43.0,20000.0,43.48
"3 BHK Flat for Rent in Basapura Main Road, Bangalore",Basapura Main Road,Bengaluru,1350.0,3,3,2,Unfurnished,22.0,30000.0,22.22
"3 BHK Flat for Rent in Basavanagar Main Road, Bangalore",Basavanagar Main Road,Bengaluru,1770.0,3,3,2,Semi-Furnished,23.0,40000.0,22.6
1 BHK House for Rent in Basavanagara Bangalore,Basavanagara,Bengaluru,650.0,1,1,0,Unfurnished,20.0,13000.0,20.0
2 BHK House for Rent in Basavanagara Bangalore,Basavanagara,Bengaluru,1400.0,2,2,0,Semi-Furnished,14.0,20000.0,14.29
1 BHK House for Rent in Basavanagudi Bangalore,Basavanagudi,Bengaluru,700.0,1,1,0,Semi-Furnished,16.0,11000.0,15.71
"2 BHK Flat for Rent in Basavanagudi, Bangalore",Basavanagudi,Bengaluru,900.0,2,1,0,Unfurnished,20.0,18000.0,20.0
3 BHK House for Rent in Basavanapura Bangalore,Basavanapura,Bengaluru,1600.0,3,2,0,Semi-Furnished,13.0,21000.0,13.12
"3 BHK Flat for Rent in Basavanna Nagar, Whitefield, Bangalore",Basavanna Nagar,Bengaluru,2700.0,3,4,2,Semi-Furnished,41.0,110000.0,40.74
1 BHK House for Rent in Basaveshwar Nagar Bangalore,Basaveshwar Nagar,Bengaluru,700.0,1,1,0,Semi-Furnished,17.0,12000.0,17.14
2 BHK House for Rent in Basaveshwar Nagar Bangalore,Basaveshwar Nagar,Bengaluru,1350.0,2,2,0,Unfurnished,19.0,26000.0,19.26
3 BHK House for Rent in Basaveshwar Nagar Bangalore,Basaveshwar Nagar,Bengaluru,1200.0,3,2,0,Semi-Furnished,15.0,18000.0,15.0
"3 BHK Flat for Rent in Basaveshwar Nagar, Bangalore",Basaveshwar Nagar,Bengaluru,1405.0,3,2,0,Furnished,25.0,35000.0,24.91
3 BHK House for Rent in Basaveshwar Nagar Bangalore,Basaveshwar Nagar,Bengaluru,1900.0,3,3,2,Semi-Furnished,26.0,50000.0,26.32
3 BHK House for Rent in Basaveshwar Nagar Bangalore,Basaveshwar Nagar,Bengaluru,1700.0,3,3,0,Unfurnished,35.0,60000.0,35.29
"3 BHK Flat for Rent in Basaveshwara Hbcs Layout, Vijayanagar, West Of Chord Road, Bangalore",Basaveshwara Hbcs Layout,Bengaluru,2400.0,3,3,0,Semi-Furnished,15.0,36000.0,15.0
"3 BHK Flat for Rent in Battarahalli, Bangalore",Battarahalli,Bengaluru,1764.0,3,3,2,Semi-Furnished,28.0,50000.0,28.34
"3 BHK Flat for Rent in Battarahalli, Bangalore",Battarahalli,Bengaluru,1411.0,3,3,2,Semi-Furnished,39.0,55000.0,38.98
"3 BHK Flat for Rent in Battarahalli, Bangalore",Battarahalli,Bengaluru,1864.0,3,3,0,Furnished,32.0,60000.0,32.19
